
220707 14.08.16	|||0.001Sec	|||﻿SerialNumber	|||	|||	|||	|||	|||	|||	|||	|||	|||	|||
220707 14.08.20	|||3.723Sec	|||18CBC-A30K100-GW519798S0046410D222721P0300201116S1.12	|||LNK	|||2022-07-07 1:58:54 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 1:58:54 PM
220707 14.08.21	|||4.669Sec	|||18CBC-A30K100-GW519798S0044410D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:16 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:16 PM
220707 14.08.22	|||5.898Sec	|||18CBC-A30K100-GW519798S0004310D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:16 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:16 PM
220707 14.08.24	|||7.665Sec	|||18CBC-A30K100-GW519798S0007110D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:16 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:16 PM
220707 14.08.25	|||8.890Sec	|||18CBC-A30K100-GW519798S0021810D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:16 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:16 PM
220707 14.08.26	|||10.286Sec	|||18CBC-A30K100-GW519798S0006910D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:16 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:16 PM
220707 14.08.27	|||11.227Sec	|||18CBC-A30K100-GW519798S0070610D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:16 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:16 PM
220707 14.08.29	|||12.670Sec	|||18CBC-A30K100-GW519798S0003310D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:17 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:17 PM
220707 14.08.30	|||14.001Sec	|||18CBC-A30K100-GW519798S0027810D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:17 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:17 PM
220707 14.08.31	|||15.203Sec	|||18CBC-A30K100-GW519798S0004610D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:17 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:17 PM
220707 14.08.33	|||16.706Sec	|||18CBC-A30K100-GW519798S0008610D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:17 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:17 PM
220707 14.08.34	|||17.931Sec	|||18CBC-A30K100-GW519798S0004910D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:17 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:17 PM
220707 14.08.35	|||19.233Sec	|||18CBC-A30K100-GW519798S0008110D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:17 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:17 PM
220707 14.08.37	|||21.121Sec	|||18CBC-A30K100-GW519798S0021210D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:17 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:17 PM
220707 14.08.39	|||22.525Sec	|||18CBC-A30K100-GW519798S0003110D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:18 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:18 PM
220707 14.08.40	|||24.333Sec	|||18CBC-A30K100-GW519798S0003010D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:18 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:18 PM
220707 14.08.42	|||25.606Sec	|||18CBC-A30K100-GW519798S0003910D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:18 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:18 PM
220707 14.08.44	|||27.610Sec	|||18CBC-A30K100-GW519798S0003410D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:18 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:18 PM
220707 14.08.45	|||28.824Sec	|||18CBC-A30K100-GW519798S0002910D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:18 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:18 PM
220707 14.08.46	|||30.109Sec	|||18CBC-A30K100-GW519798S0004010D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:18 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:18 PM
220707 14.08.48	|||31.388Sec	|||18CBC-A30K100-GW519798S0008210D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:19 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:19 PM
220707 14.08.49	|||33.031Sec	|||18CBC-A30K100-GW519798S0003210D222721P0300201116S1.12	|||LNK	|||2022-07-07 2:00:19 PM	|||LNK908-220203LF|ABR1700025	|||P	|||	|||	|||	|||	|||FCT2	|||2022-07-07 2:00:19 PM
