FCTLOG,Serial Number,CUSTOMER,TIME_DATE,PROJECT,RESULT,TEXT1,TEXT2,TEXT3,TEXT4,OPNAME,CDATE,CRITERIA,TESTDURATION,FIXTURE_ID,OPERATOR,WORKORDER,SYMPTOM
COATINGLOG,3AXD50000425204G2020001SB,ABF,,ABF,P,,,,,COATING,,,,,,,
COATINGLOG,3AXD50000425204G2020002SB,ABF,,ABF,P,,,,,COATING,,,,,,,
COATINGLOG,3AXD50000425204G2020003SB,ABF,,ABF,P,,,,,COATING,,,,,,,
COATINGLOG,3AXD50000012622E2020001SB,ABF,,ABF,P,,,,,COATING,,,,,,,
COATINGLOG,3AXD50000012622E2020002SB,ABF,,ABF,P,,,,,COATING,,,,,,,
COATINGLOG,3AXD50000012622E2020003SB,ABF,,ABF,P,,,,,COATING,,,,,,,
COATINGLOG,3AXD50000012492N2020001SB,ABF,,ABF,P,,,,,COATING,,,,,,,
COATINGLOG,3AXD50000012492N2020002SB,ABF,,ABF,P,,,,,COATING,,,,,,,
COATINGLOG,3AXD50000012492N2020003SB,ABF,,ABF,P,,,,,COATING,,,,,,,
COATINGLOG,3AXD50000012499E2020001SB,ABF,,ABF,P,,,,,COATING,,,,,,,
COATINGLOG,3AXD50000012499E2020002SB,ABF,,ABF,P,,,,,COATING,,,,,,,
COATINGLOG,3AXD50000012499E2020003SB,ABF,,ABF,P,,,,,COATING,,,,,,,
