FCTLOG	SerialNumber	CUS	TestTime	Column1	Status	TEXT1	TEXT2	TEXT3	TEXT4	OPNAME	TestTime
FCTLOG	3ABD00045053W2173155SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2250743SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2250748SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2250749SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2250750SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2250754SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2250755SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2250758SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2250759SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2250764SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2250765SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2250766SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2250767SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2250769SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2250773SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2250775SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2250950SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2250953SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2250954SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2250955SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251069SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251071SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251074SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251075SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251081SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251086SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251090SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251094SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251095SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251096SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251097SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251098SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251139SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251146SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251167SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251169SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251178SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251209SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251214SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251217SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251218SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251239SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251240SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251242SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251244SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251246SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251430SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251442SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251460SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251461SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251463SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251468SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251478SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251479SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251480SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251483SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251484SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251493SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251494SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251497SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251504SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251528SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251534SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251602SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251608SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251609SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251611SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
