FCTLOG,Serial Number,CUSTOMER,TIME_DATE,PROJECT,RESULT,TEXT1,TEXT2,TEXT3,TEXT4,OPNAME,CDATE,CRITERIA,TESTDURATION,FIXTURE_ID,OPERATOR,WORKORDER,SYMPTOM
COATINGLOG,69025790F2432134SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432135SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432136SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432137SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432138SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432139SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432140SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432141SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432142SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432143SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432144SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432145SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432146SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432147SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432148SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432149SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432150SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432151SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432152SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432153SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432154SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432155SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432156SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432157SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432158SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432159SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432160SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432161SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432162SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432163SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432164SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432165SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432166SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432167SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432168SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432169SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432170SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432171SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432172SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432173SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432174SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432175SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432176SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432177SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432178SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432179SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432180SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432181SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432182SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432183SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432184SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432185SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432186SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432187SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432188SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432189SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432190SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432191SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432192SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432193SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432194SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432195SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432196SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432197SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432198SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432199SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432200SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432201SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432202SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432203SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432204SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432205SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432206SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432207SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432208SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432209SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432210SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432211SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432212SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432213SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432214SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432215SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432216SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432217SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432218SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432219SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432220SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432221SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432222SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432223SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432224SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432225SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432226SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432227SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432228SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432229SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432230SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432231SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432232SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432233SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432234SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432235SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432236SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432237SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432238SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432239SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432240SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432241SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432242SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432243SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432244SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432245SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432246SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432247SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432248SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432249SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432250SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432251SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432252SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432253SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432254SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432255SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432256SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432257SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432258SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432259SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432260SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432261SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432262SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432263SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432264SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432265SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432266SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432267SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432268SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432269SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432270SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432271SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432272SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432273SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432274SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432275SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432276SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432277SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432278SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432279SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432280SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432281SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432282SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432283SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432284SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432285SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432286SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432287SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432288SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432289SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432290SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432291SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432292SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432293SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432294SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432295SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432296SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432297SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432298SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432299SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432300SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432301SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432302SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2432303SB,ABF,,COATING,P,,,,,COATING,,,,,,,
