FCTLOG,Serial Number,CUSTOMER,TIME_DATE,PROJECT,RESULT,TEXT1,TEXT2,TEXT3,TEXT4,OPNAME,CDATE
FCTLOG,9977;20217241-0023;0722;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 16:03:55,58.7565745,,FCT1,
FCTLOG,9977;20224854-0001;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 21:54:12,50.6551158,,FCT1,
FCTLOG,9977;20224854-0020;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:07:50,50.0668013,,FCT1,
FCTLOG,9977;20224854-0024;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:10:07,62.9395513,,FCT1,
FCTLOG,9977;20224854-0023;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:11:43,49.4907514,,FCT1,
FCTLOG,9977;20224854-0022;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:13:08,49.8505651,,FCT1,
FCTLOG,9977;20224854-0021;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:14:54,51.5549431,,FCT1,
FCTLOG,9977;20224854-0019;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:17:10,51.7764981,,FCT1,
FCTLOG,9977;20224854-0018;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:19:30,66.2927018,,FCT1,
FCTLOG,9977;20224854-0114;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:21:27,48.4131963,,FCT1,
FCTLOG,9977;20224854-0107;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:24:04,70.8674125,,FCT1,
FCTLOG,9977;20224854-0109;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:26:32,104.4188955,,FCT1,
FCTLOG,9977;20224854-0112;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:27:42,49.473485,,FCT1,
FCTLOG,9977;20224854-0118;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:29:12,55.0509311,,FCT1,
FCTLOG,9977;20224854-0108;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:30:51,51.0400887,,FCT1,
FCTLOG,9977;20224854-0116;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:32:39,58.845546,,FCT1,
FCTLOG,9977;20224854-0101;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:34:37,55.1002003,,FCT1,
FCTLOG,9977;20224854-0111;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:36:09,51.9435403,,FCT1,
FCTLOG,9977;20224854-0102;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:37:30,51.2628506,,FCT1,
FCTLOG,9977;20224854-0106;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:39:02,74.0846797,,FCT1,
FCTLOG,9977;20224854-0105;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:40:09,49.1391389,,FCT1,
FCTLOG,9977;20224854-0104;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:41:27,55.569447,,FCT1,
FCTLOG,9977;20224854-0103;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:42:45,49.3031756,,FCT1,
FCTLOG,9977;20224854-0110;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:44:13,51.0750408,,FCT1,
FCTLOG,9977;20224854-0117;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:45:26,49.0690587,,FCT1,
FCTLOG,9977;20224854-0115;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:46:41,49.5755888,,FCT1,
FCTLOG,9977;20224854-0113;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:48:07,55.52639,,FCT1,
FCTLOG,9977;20224854-0095;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:49:29,52.8366199,,FCT1,
FCTLOG,9977;20224854-0096;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:50:54,60.2535179,,FCT1,
FCTLOG,9977;20224854-0099;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:52:19,51.274322,,FCT1,
FCTLOG,9977;20224854-0100;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:54:15,49.2302976,,FCT1,
FCTLOG,9977;20224854-0097;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:55:52,49.0238929,,FCT1,
FCTLOG,9977;20224854-0098;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:57:09,49.725549,,FCT1,
FCTLOG,9977;20224854-0087;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:58:31,49.4004463,,FCT1,
FCTLOG,9977;20224854-0089;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:59:59,60.7203449,,FCT1,
FCTLOG,9977;20224854-0085;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:02:17,56.574177,,FCT1,
FCTLOG,9977;20224854-0084;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:03:38,48.9772497,,FCT1,
FCTLOG,9977;20224854-0086;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:05:04,55.0023125,,FCT1,
FCTLOG,9977;20224854-0088;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:06:18,49.2153462,,FCT1,
FCTLOG,9977;20224854-0093;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:17:36,77.1937125,,FCT1,
FCTLOG,9977;20224854-0092;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:19:12,70.0301222,,FCT1,
FCTLOG,9977;20224854-0094;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:23:15,51.7699365,,FCT1,
FCTLOG,9977;20224854-0091;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:24:25,48.2725064,,FCT1,
FCTLOG,9977;20224854-0090;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:25:59,74.4670323,,FCT1,
FCTLOG,9977;20224854-0124;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:27:20,60.7001701,,FCT1,
