FCTLOG,Serial Number,CUSTOMER,TIME_DATE,PROJECT,RESULT,TEXT1,TEXT2,TEXT3,TEXT4,OPNAME,CDATE,CRITERIA,TESTDURATION,FIXTURE_ID,OPERATOR,WORKORDER,SYMPTOM
FCTLOG,10CBD6S200W11-G-3222049380,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3221405846,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3224467424,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3224466411,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3224466743,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3224466798,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3224466527,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222055229,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222044453,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222051320,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3214530220,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222040442,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222054527,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222054663,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222047495,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3213267949,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222049091,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222045115,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222043810,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222256005,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3221730201,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222051458,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3213268637,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222047524,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3215043256,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222047718,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222050509,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3220365411,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222262301,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3220987218,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222055531,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3214838988,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3214536020,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3214530473,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3221406884,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3220985797,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222054024,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222044879,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3221402758,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3214530240,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222256070,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222055423,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222260895,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222053400,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222051477,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222257023,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222051459,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222055622,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
FCTLOG,10CBD6S200W11-G-3222051197,LNK,,LNK01E-215411PGLF ,P,,,,,FCT1,,,,,,,
